,dim1,dim2,dim3,dim4,nn,min_dist
208024,-0.9295042753219604,16.25540542602539,4.798554420471191,4.441540718078613,305830,0.7059803009033203
136732,7.479668617248535,6.002036094665527,5.543325901031494,2.6142501831054688,812746,0.6157746911048889
894774,0.6691970825195312,-1.056771993637085,0.13518543541431427,4.382542133331299,325129,0.7771898508071899
828862,3.9592483043670654,12.82455062866211,1.7589880228042603,-0.16418980062007904,213421,0.5218837857246399
129432,4.820023059844971,2.0726919174194336,0.05541308969259262,0.11171133816242218,141119,0.5878212451934814
103010,5.874706268310547,9.811497688293457,1.460532546043396,-0.678104043006897,113619,0.8305253386497498
144933,2.4910309314727783,14.390008926391602,1.6391366720199585,0.040008559823036194,656657,0.6458427309989929
141422,3.3860204219818115,17.69283676147461,9.096100807189941,2.949798583984375,208226,0.6408098340034485
463040,-0.3736639618873596,18.443758010864258,4.857561111450195,3.03104305267334,424939,1.448137879371643
362034,5.344925880432129,12.092774391174316,8.077211380004883,3.1272404193878174,214221,0.4394282102584839
204218,-2.0322067737579346,8.582111358642578,-0.4145400822162628,3.531702756881714,149741,0.895882785320282
820745,2.1138916015625,9.324688911437988,7.03334903717041,6.726751327514648,381038,0.5776005387306213
118932,4.440140724182129,11.11716365814209,8.013038635253906,4.4234771728515625,933253,0.7054212689399719
173132,-0.5280503630638123,16.98955535888672,4.974031925201416,3.5994017124176025,365343,0.6024697422981262
825553,-0.937203049659729,14.37402629852295,1.270132064819336,2.345836639404297,217429,0.9055906534194946
378756,1.0221455097198486,16.78595542907715,8.50439739227295,5.341471195220947,611938,0.8668472766876221
910241,5.916381359100342,7.707562446594238,3.4451205730438232,0.3676277697086334,406432,0.6519240736961365
562446,6.833975315093994,6.132506370544434,4.691558837890625,1.8724627494812012,583858,0.3690238296985626
107422,1.5109210014343262,-2.1256494522094727,-0.16382543742656708,4.296446800231934,196952,0.8276398181915283
152831,5.367722988128662,4.346776008605957,0.7970390915870667,-0.1260881870985031,198047,0.5950726270675659
557857,-0.47929108142852783,16.410810470581055,5.132089614868164,3.8093478679656982,365343,0.3423547148704529
158035,0.8139809966087341,12.922322273254395,6.8800883293151855,6.230656623840332,161832,1.160027265548706
654754,5.999149799346924,9.304821014404297,7.35752010345459,3.936478853225708,571144,0.41097956895828247
192136,6.001885890960693,13.529091835021973,7.853475570678711,1.9324363470077515,209329,1.1198689937591553
578158,3.249870538711548,13.677960395812988,0.823686420917511,-0.540614664554596,173233,0.6192155480384827
113922,2.899062395095825,10.40746784210205,7.548972129821777,5.880558490753174,580751,0.6737971901893616
206828,-1.3612468242645264,8.563870429992676,1.4058353900909424,4.6302313804626465,152427,0.7732394933700562
117021,6.365429401397705,8.519885063171387,2.897177219390869,-0.1893361657857895,270332,0.6617273092269897
164636,0.6358999013900757,20.128786087036133,7.4620537757873535,3.1955788135528564,205725,0.4421145021915436
877269,5.185794830322266,3.3955981731414795,-0.1192719116806984,-0.45166733860969543,175136,0.4429135024547577
761957,6.967208385467529,9.005719184875488,6.78354549407959,2.6733713150024414,157942,0.7919347286224365
397154,0.42641645669937134,16.860023498535156,3.4286794662475586,1.3522140979766846,159946,1.0285409688949585
303624,0.43699419498443604,17.999135971069336,7.208841800689697,4.211373329162598,131722,0.4437255859375
