,key_0,1_x,2_x,cluster_lab,1_y,2_y,cluster_lab_half2,subjects
354,406432,13.205642,-30.58576,1,-9.056015,-6.049484,2,406432
355,814649,-2.767732,47.322132,0,11.1582365,42.964573,0,814649
356,180937,6.0573506,-40.890953,1,-30.197704,-24.917303,2,180937
357,124826,-8.090102,-2.2339811,3,9.532787,0.66053236,1,124826
358,530635,35.274014,1.6668723,2,-18.392324,22.61858,0,530635
359,124422,-35.74068,-0.53296274,3,10.852785,-27.969294,3,124422
360,942658,-24.892775,-16.916021,3,-9.431739,14.153911,0,942658
361,171431,11.532721,-22.538418,1,-19.413057,-9.349336,2,171431
362,255740,-41.284912,0.84270966,3,27.081316,18.661337,1,255740
363,177645,-6.234164,-46.825344,1,-21.879501,-35.23863,3,177645
364,704238,16.01634,14.152234,2,-3.3329093,27.902567,0,704238
365,825654,-7.4050627,0.75556326,3,18.744825,-6.8627157,1,825654
366,156435,-30.695429,-8.711388,3,5.0691886,-27.585882,3,156435
367,162026,-18.398232,40.14433,0,23.690397,24.261978,0,162026
368,145834,11.824213,-36.553204,1,-34.90743,1.304577,2,145834
369,118023,0.688296,41.83946,0,15.646094,41.546635,0,118023
370,204218,-3.851059,38.431892,0,23.421938,33.91506,0,204218
371,164636,22.174313,-7.759491,2,-31.879545,13.923728,2,164636
372,113316,23.612339,19.190159,2,-1.0060301,37.071033,0,113316
373,146129,-28.735762,12.290949,3,32.140965,-21.201664,1,146129
374,748258,-10.217031,-1.3099918,3,13.447527,-7.491872,1,748258
375,123925,9.435052,42.161366,0,40.126503,-10.901777,1,123925
376,133827,12.530876,-31.267895,1,-10.748468,-6.5925465,2,133827
377,116423,7.676909,-0.10986897,2,12.235921,25.18565,0,116423
378,150019,-14.348125,39.931736,0,22.822876,29.46055,0,150019
379,316835,10.587498,45.06719,0,1.065316,42.96792,0,316835
380,157336,28.196344,-7.264354,2,-34.37391,13.720484,2,157336
381,148941,10.383341,-36.691322,1,-34.969788,-22.785528,2,148941
382,117021,-13.586708,24.53434,0,15.572602,8.504197,1,117021
383,609143,-11.312135,-12.640139,3,10.930411,-16.17455,1,609143
384,116221,-3.0101478,24.619219,0,5.657312,32.446217,0,116221
385,174437,18.309149,18.579521,2,-4.24324,20.165901,0,174437
386,129533,0.08086913,-43.6401,1,-30.898684,-29.401129,2,129533
387,196144,-17.295599,-25.574621,3,30.02562,15.08131,1,196144
388,115724,-10.385386,-12.2602625,3,-16.417324,-11.524524,2,115724
389,128026,-30.922388,-7.1006107,3,9.558563,-30.418983,3,128026
390,152225,6.5602236,-15.697179,1,-26.371553,4.8623557,2,152225
391,753251,-2.9019551,-21.71782,1,-5.7970963,-17.726032,3,753251
392,555651,-15.908835,38.29805,0,23.614325,27.455713,0,555651
393,138534,3.6595418,33.589718,0,15.269132,34.815994,0,138534
394,177342,26.393276,-7.792608,2,-22.578548,20.24119,0,177342
395,395756,-0.372057,-4.0846753,2,-3.40994,7.947049,2,395756
396,248339,20.380886,11.489937,2,2.134662,1.8921955,1,248339
397,771354,-7.322791,-42.11933,1,-27.350718,-32.51553,3,771354
398,151425,1.972954,32.79763,0,34.68322,5.610257,1,151425
399,161832,-10.920972,-22.489006,3,-8.265092,-21.255116,3,161832
400,962058,29.457884,-1.4518187,2,-15.296669,24.113731,0,962058
401,211821,-29.049292,-8.441557,3,-2.387698,-29.98702,3,211821
402,144731,22.114359,8.443302,2,-2.5697575,-3.2864048,1,144731
403,113922,0.25038785,-16.831474,1,-4.679263,-16.76317,3,113922
404,966975,16.242773,10.631765,2,-5.888884,4.4942026,2,966975
405,180432,-3.8339486,40.834236,0,36.634247,1.3221217,1,180432
406,163836,-21.705112,26.2911,0,17.013906,10.97469,1,163836
407,167440,13.444452,-45.079514,1,-38.41779,-20.90585,2,167440
408,211316,-1.2937288,-3.2500594,2,8.390331,-5.0469036,1,211316
409,210415,-0.1581091,47.464684,0,36.67476,-5.18438,1,210415
410,126628,30.973251,13.953592,2,-10.979575,36.0508,0,126628
411,153025,-31.517986,-7.993254,3,7.5462656,-26.575502,3,153025
412,129634,13.234862,-39.168453,1,-33.584988,-17.268326,2,129634
413,598568,24.867525,-27.49364,1,-32.037956,-4.157115,2,598568
414,119833,-6.6279316,-48.17303,1,-26.606583,-30.51367,2,119833
415,120515,8.980851,11.498609,2,1.7424891,1.0852472,1,120515
416,146836,-33.161297,-11.862757,3,3.5945833,-31.901993,3,146836
417,109123,-1.4473298,-46.038292,1,-34.59432,-27.340122,2,109123
418,233326,2.3266282,48.811188,0,40.38284,-8.172595,1,233326
419,154229,6.725902,-3.7929132,2,-21.387993,11.337761,2,154229
420,123723,7.7309756,6.8802986,2,-7.787656,-3.043455,2,123723
421,872158,18.754763,-39.49427,1,-33.347115,-12.933391,2,872158
422,558960,-26.996288,35.63697,0,26.547443,13.838545,1,558960
423,131621,12.005127,-17.559753,1,-14.847762,-20.135996,2,131621
424,190132,-29.345875,15.070527,3,29.820404,-18.822134,1,190132
425,201818,-12.286027,-26.972902,1,-12.6939125,-23.869333,3,201818
426,137633,12.656789,11.753671,2,0.5411226,-0.744617,1,137633
427,873968,-24.315615,21.331394,3,9.376545,8.667133,1,873968
428,141422,-3.0012834,46.113464,0,7.2135544,43.482517,0,141422
429,210011,-31.484,-19.91617,3,-0.9983727,-32.584503,3,210011
430,182032,-1.4586427,-33.615692,1,-18.695171,-12.604954,2,182032
431,206323,26.836926,-3.19356,2,-17.781975,21.892536,0,206323
432,576255,-0.47264907,-18.62564,1,-26.12706,3.5350666,2,576255
433,107018,-11.439859,38.522617,0,27.45156,15.779588,1,107018
434,221218,-27.65871,20.91048,3,32.629677,-16.886143,1,221218
435,994273,-13.305301,-12.002852,3,20.731537,-21.653236,1,994273
436,159340,22.037746,-27.79675,1,-30.7161,-3.6082885,2,159340
437,784565,26.065613,18.030708,2,-3.9498863,36.65904,0,784565
438,620434,5.0970287,-36.31098,1,-33.192345,8.398916,2,620434
439,121921,-24.288614,-12.188381,3,10.768339,-8.166459,1,121921
440,877269,-16.436947,11.852735,3,19.003157,-4.8259935,1,877269
441,882161,-1.9562929,-34.59264,1,-23.064981,-15.035581,2,882161
442,118225,-27.605978,9.946582,3,26.977879,-20.571957,1,118225
443,213522,-22.064861,-4.8309574,3,-2.3368344,-14.749986,1,213522
444,812746,9.548778,-41.722023,1,-33.98793,-26.165173,2,812746
445,164939,-36.228275,-12.556569,3,3.811706,-36.211086,3,164939
446,479762,18.321081,-34.78647,1,-30.049894,-14.019856,2,479762
447,127630,-33.21309,9.7055235,3,16.739645,-28.854017,3,127630
448,196952,-12.304473,-29.672178,1,-20.712791,-25.846714,2,196952
449,360030,-9.860883,24.946083,0,19.587917,-6.3345675,1,360030
450,339847,-28.18682,17.322166,3,33.80524,-18.107552,1,339847
451,120010,-3.4819725,3.0141916,2,4.673098,1.5155292,1,120010
452,102008,22.476765,-5.741199,2,-30.200623,16.668882,2,102008
453,150625,-5.522379,37.233547,0,22.62899,32.99939,0,150625
454,102614,-16.275051,-13.124999,3,-1.5225028,-3.7374268,1,102614
455,650746,13.925868,40.527267,0,0.087288536,37.6444,0,650746
456,380036,32.040394,-8.825425,2,-25.218733,22.678722,0,380036
457,123824,14.866577,42.434757,0,5.923305,43.352337,0,123824
458,123420,-1.8697375,-43.263603,1,-28.338057,-25.48632,2,123420
459,951457,-38.537663,-12.758302,3,4.435125,-34.96314,3,951457
460,414229,-33.967262,-6.2731166,3,11.09213,-32.238598,3,414229
461,499566,9.567053,-21.310846,1,-26.51415,-11.047356,2,499566
462,200210,-5.4032044,-34.31837,1,-27.830784,-13.015981,2,200210
463,113821,-37.613903,-13.302669,3,2.9023054,-36.090565,3,113821
464,529953,-0.07195022,-8.831173,2,-18.257067,-9.049202,2,529953
465,179245,-38.260372,-0.15163273,3,25.771156,1.8005189,1,179245
466,767464,-17.35948,13.602292,3,33.797203,-10.217077,1,767464
467,729254,-24.847525,17.55438,3,25.240414,-20.347725,1,729254
468,880157,-26.793375,5.1264253,3,23.958971,-20.405203,1,880157
469,251833,-21.937038,-9.946367,3,-22.11769,4.8098845,2,251833
470,599671,28.468485,1.3269348,2,-16.125109,26.084476,0,599671
471,872562,-2.9211416,25.63407,0,5.0705338,31.946354,0,872562
472,154431,-1.4059923,24.59605,0,10.687197,27.728561,0,154431
473,103111,1.1562107,-15.840929,1,-20.032104,3.668002,2,103111
474,751550,-36.17684,7.528135,3,25.859322,5.676826,1,751550
475,168240,-26.20265,33.996315,0,24.177858,13.114184,1,168240
476,194847,-8.595245,-39.568684,1,-9.894061,-31.754864,3,194847
477,197449,10.885836,-46.445534,1,-35.092484,-18.714731,2,197449
478,286650,23.155693,18.107761,2,-0.42434147,16.411999,0,286650
479,644044,-24.458677,-4.275032,3,11.926054,-15.542829,1,644044
480,779370,-5.5206695,8.767366,2,17.357023,-0.16948318,1,779370
481,117122,-28.031828,14.7704315,3,30.980679,-18.083473,1,117122
482,156334,27.253496,-26.374975,1,-26.51937,29.924023,0,156334
483,127731,10.737882,26.775826,2,-4.207161,33.407154,0,127731
